,W 125 ST/OLD BROADWAY,3 AV/CLAREMONT PKY,3 AV/E 184 ST,W 125 ST/ADAM C POWELL BL,3 AV/E FORDHAM RD,WILLIS AV/E 140 ST,E 128 ST/3 AV,ST CLAIRE PL/W 125 ST,LINCOLN AV/BRUCKNER BL,W 125 ST/MALCOLM X BL,W 125 ST/ST NICHOLAS AV,3 AV/CLAREMONT PY,3 AV/E 173 ST,3 AV/WASHINGTON AV,LINCOLN AV/E 136 ST,3 AV/E 175 ST,E 138 ST/3 AV,WILLIS AV/E 148 ST,3 AV/E 152 ST,3 AV/E 188 ST,E 138 ST/WILLIS AV,3 AV/E 161 ST,W 125 ST/MORNINGSIDE AV,W 125 ST/FRED DOUGLASS BL,E 125 ST/PARK AV,3 AV/E 156 ST,3 AV/E 168 ST,E 125 ST/LEXINGTON AV,WILLIS AV/E 138 ST,3 AV/E 174 ST,3 AV/E TREMONT AV,3 AV/E 183 ST,2 AV/E 126 ST,WILLIS AV/E 142 ST,3 AV/E 157 ST,3 AV/E 158 ST,3 AV/E 163 ST,3 AV/E 154 ST,3 AV/E 153 ST,3 AV/WESTCHESTER AV,E 125 ST/MADISON AV,3 AV/CROSS BRONX EXP,3 AV/E 169 ST,W 125 ST/ST CLAIRE PL,WILLIS AV/E 146 ST,W 125 ST/12 AV,3 AV/E 187 ST,W 125 ST/BROADWAY,E 125 ST/3 AV,3 AV/E 189 ST,E 138 ST/ALEXANDER AV,W 125 ST/MALCOLM X  BL,3 AV/E 166 ST,3 AV/E 180 ST,E 125 ST/2 AV,E 125 ST/5 AV,3 AV/E 172 ST,W 125 ST/AMSTERDAM AV,E 125 ST/1 AV,W 125 ST/5 AV,3 AV/ST PAULS PL,3 AV/E 150 ST,WILLIS AV/E 144 ST,West Farms Depot (WF)
3 AV/E TREMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.297 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,0.515 FORDHAM PLZ via 3 AV,,,,,,,,,,
3 AV/E 183 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.398 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,
2 AV/E 126 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,
WILLIS AV/E 142 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 FORDHAM PLZ via 3 AV,
3 AV/E 157 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 158 ST,,,,,,,,,,,,,,,,,,,,,,0.247 FORDHAM PLZ via 3 AV,,,,0.202 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 163 ST,,,,,,,,,,,,,,,,,,,,,,0.164 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.557 FORDHAM PLZ via 3 AV,,,,,,,,,,,
3 AV/E 154 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.313 WEST HARLEM 12 AV via 3 AV via 125 ST,,
3 AV/E 153 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/WESTCHESTER AV,,,,,,,,,,,,,,,,,,,0.182 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 125 ST/MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,0.168 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,
3 AV/CROSS BRONX EXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.588 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,
3 AV/E 169 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,1.238 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354 FORDHAM PLZ via 3 AV,,,
W 125 ST/ST CLAIRE PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.132 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,
WILLIS AV/E 146 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,
W 125 ST/12 AV,,,,,,,,0.132 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 187 ST,,,,,,,,,,,,,,,,,,,,0.141 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 125 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,
E 125 ST/3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217 FORDHAM PLZ via 3 AV,,,,,,,,,
3 AV/E 189 ST,,,,,0.406 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 138 ST/ALEXANDER AV,,,,,,,,,,,,,,,,,0.197 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 125 ST/MALCOLM X  BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269 FORDHAM PLZ via 3 AV,,,,,,,,
3 AV/E 166 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.291 FORDHAM PLZ via 3 AV,,,,,,,,,,1.027 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 180 ST,,,0.453 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.551 to depot of Bx15
E 125 ST/2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,0.243 FORDHAM PLZ via 3 AV,,,,,
E 125 ST/5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 172 ST,,,,,,,,,,,,0.686 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 125 ST/AMSTERDAM AV,0.219 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,0.298 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 125 ST/1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.785 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 125 ST/5 AV,,,,,,,,,,0.269 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/ST PAULS PL,,0.296 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.916 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,
3 AV/E 150 ST,,,,,,,,,,,,,,,,,,0.629 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIS AV/E 144 ST,,,,,,0.317 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,
West Farms Depot (WF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.719 FORDHAM PLZ via 3 AV,,,,,,,,,,
