,GRAND CONCOURSE/E 156 ST,GRAND CONCOURSE/E 167 ST,GRAND CONCOURSE/MORRIS AV,GRAND CONCOURSE/E 196 ST,E MOSHOLU PY S/JEROME AV,GRAND CONCOURSE/E 163 ST,SEDGWICK AV/DICKINSON AV,GRAND CONCOURSE/E 169 ST,ALBANY CR/BAILEY AV,GRAND CONCOURSE/E 158 ST,GRAND CONCOURSE/E 187 ST,GRAND CONCOURSE/E 198 ST,3 AV/E 144 ST,GRAND CONCOURSE/E 182 ST,RIVERDALE AV/W 231 ST,GRAND CONCOURSE/E 177 ST,GRAND CONCOURSE/E 181 ST,3 AV/E 140 ST,W 231 ST/TIBBETT AV,SEDGWICK AV/STEVENSON PL,GRAND CONCOURSE/BEDFORD PK BL,W 231 ST/KINGSBRIDGE AV,SEDGWICK AV/STEVENSON PL 2,GRAND CONCOURSE/E 153 ST,GRAND CONCOURSE/E BURNSIDE AV,GRAND CONCOURSE/E 180 ST,E 136 ST/LINCOLN AV,GRAND CONCOURSE/E CLARKE PL,GRAND CONCOURSE/E 179 ST,HEATH AV/SUMMIT PL,SEDGWICK AV/VAN CORTLANDT AV W,3 AV/E 142 ST,GRAND CONCOURSE/MT EDEN AV,HEATH AV/ALBANY CRES,GRAND CONCOURSE/E MOSHOLU PY S,E 149 ST/MELROSE AV,E 149 ST/MORRIS AV,W MOSHOLU PY S/PAUL AV,LINCOLN AV/E 137 ST,GRAND CONCOURSE/E 192 ST,GRAND CONCOURSE/E 174 ST,SEDGWICK AV/FT INDEPENDENCE ST,SEDGWICK AV/GILES PL,E 149 ST/GRAND CONCOURSE,W 231 ST/BROADWAY,SEDGWICK AV/STEVENSON PL 1,GRAND CONCOURSE/E 165 ST,GRAND CONCOURSE/E MT EDEN AV,E 149 ST/COURTLANDT AV,GRAND CONCOURSE/E 161 ST,GRAND CONCOURSE/E FORDHAM RD,W MOSHOLU PY S/JEROME AV,GRAND CONCOURSE/E 149 ST,GRAND CONCOURSE/E TREMONT AV,GRAND CONCOURSE/VAN CORTLANDT AV E,GRAND CONCOURSE/E 175 ST,SEDGWICK AV/HILLMAN AV,W 231 ST/CORLEAR AV,3 AV/E 138 ST,GRAND CONCOURSE/CROSS BX EXP OVERPASS,GRAND CONCOURSE/E 204 ST,W 231 ST/BAILEY AV,GRAND CONCOURSE/E 206 ST,GRAND CONCOURSE/MC CLELLAN ST,GRAND CONCOURSE/E 203 ST,GRAND CONCOURSE/MINERVA PL,GRAND CONCOURSE/E KINGSBRIDGE RD,GRAND CONCOURSE/E 172 ST,GRAND CONCOURSE/FIELD PL,GRAND CONCOURSE/E 170 ST,West Farms Depot (WF)
W MOSHOLU PY S/JEROME AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.435 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 149 ST,,,,,,,,,,,,,,,,,,,,,,,,0.307 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E TREMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/VAN CORTLANDT AV E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,
GRAND CONCOURSE/E 175 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.374 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,
SEDGWICK AV/HILLMAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 231 ST/CORLEAR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 138 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/CROSS BX EXP OVERPASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.518 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,6.015 to depot of Bx2
GRAND CONCOURSE/E 204 ST,,,,,,,,,,,,,,,,,,,,,0.262 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 231 ST/BAILEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,0.285 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 206 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.622 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/MC CLELLAN ST,,0.455 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.316 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 203 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,
GRAND CONCOURSE/MINERVA PL,,,,0.607 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
