,PAUL AV/W 205 ST,E 206 ST/ROCHAMBEAU AVE,RIVERDALE AV/W 254 ST,HENRY HUDSON PKY W/W 237 ST,BAINBRIDGE AV/E GUN HILL RD,BAILEY AV/VAN CORTLANDT PK S,RIVERDALE AV/W 261 ST,HENRY HUDSON PKY E/W 252 ST,W 231 ST/TIBBETT AV,E GUN HILL RD/DE KALB AV,JEROME AV/E 205 ST,HENRY HUDSON PKY E/W 227 ST,HENRY HUDSON PKY E/W 239 ST,RIVERDALE AV/W 263 ST,W 231 ST/RIVERDALE AV,HENRY HUDSON PKY W/W 236 ST,BAINBRIDGE AV/VAN CORTLANDT AV E,W 231 ST/BROADWAY,BAINBRIDGE AV/RESERVOIR OVAL E,KAPPOCK ST/JOHNSON AV,E GUN HILL RD/BAINBRIDGE AV,BAILEY AV/W 238 ST,HENRY HUDSON PKY W/W 252 ST,W 231 ST/BAILEY AV,SEDGWICK AV/HILLMAN AV,RIVERDALE AV/W 260 ST,SEDGWICK AV/STEVENSON PL 2,BAILEY AV/W 233 ST,BEDFORD PK/JEROME AV,HENRY HUDSON PKY W/W 249 ST,HENRY HUDSON PKY W/W 246 ST,W 231 ST/KINGSBRIDGE AV,HENRY HUDSON PKY E/W 238 ST,HENRY HUDSON PKY E/W 250 ST,SEDGWICK AV/DICKINSON AV,E GUN HILL RD/DEKALB AV,IRWIN AV/JOHNSON AV,HENRY HUDSON PKY W/W 227 ST,JEROME AV/E MOSHOLU PY N,RIVERDALE AV/W 259 ST,HENRY HUDSON PKY E/W 235 ST,PAUL AV/W MOSHOLU PY S,E MOSHOLU PY N/VAN CORTLANDT AV E,BAINBRIDGE AV/E 210 ST,HENRY HUDSON PKY W/INDEPENDENCE AV,RIVERDALE AV/W 256 ST,PAUL AV/BEDFORD PK BL,HENRY HUDSON PKY/2735 HENRY HUDSON PKY,W 231 ST/CORLEAR AV,VAN CORTLANDT AV W/ORLOFF AV,HENRY HUDSON PKY W/W 239 ST,VAN CORTLANDT AV E/ROCHAMBEAU AV,HENRY HUDSON PKY E/W 232 ST,KAPPOCK ST/KNOLLS CRES,HENRY HUDSON PKY E/W 246 ST,HENRY HUDSON PKY W/W 232 ST,BAINBRIDGE AV/E 206 ST,West Farms Depot (WF)
W 231 ST/KINGSBRIDGE AV,,,,,,,,,0.19 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY E/W 238 ST,,,,,,,,,,,,,0.182 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY E/W 250 ST,,,,,,,,0.255 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDGWICK AV/DICKINSON AV,,,,,,,,,,,,,,,,,,,,,,,,,0.252 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,0.468 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,
E GUN HILL RD/DEKALB AV,,,,,0.209 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRWIN AV/JOHNSON AV,,,,,,,,,,,,,,,0.608 NORWOOD 205 ST STA,,,,,0.528 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY W/W 227 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.195 NORWOOD 205 ST STA,,,,,,,,,,,,,
JEROME AV/E MOSHOLU PY N,,,,,,,,,,,0.515 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.478 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,
RIVERDALE AV/W 259 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.214 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,0.317 NORWOOD 205 ST STA,,,,,,,,,,,,
HENRY HUDSON PKY E/W 235 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,
PAUL AV/W MOSHOLU PY S,0.541 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.482 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,
E MOSHOLU PY N/VAN CORTLANDT AV E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703 RIVERDALE 263 ST,,,,,,
BAINBRIDGE AV/E 210 ST,,,,,,,,,,,,,,,,,0.294 NORWOOD 205 ST STA,,,,0.189 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY W/INDEPENDENCE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345 NORWOOD 205 ST STA,,,,
RIVERDALE AV/W 256 ST,,,0.255 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,
PAUL AV/BEDFORD PK BL,0.27 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.519 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY/2735 HENRY HUDSON PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,
W 231 ST/CORLEAR AV,,,,,,,,,,,,,,,,,,0.228 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN CORTLANDT AV W/ORLOFF AV,,,,,,0.305 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,0.168 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY W/W 239 ST,,,,0.287 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN CORTLANDT AV E/ROCHAMBEAU AV,,,,,,,,,,,,,,,,,,,0.443 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY E/W 232 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,
KAPPOCK ST/KNOLLS CRES,,,,,,,,,,,,0.308 RIVERDALE 263 ST,,,,,,,,0.228 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY E/W 246 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.433 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY W/W 232 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28 NORWOOD 205 ST STA,,,,,,,,,,
BAINBRIDGE AV/E 206 ST,,0.072 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.456 to depot of Bx10
West Farms Depot (WF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.406 NORWOOD 205 ST STA,
