,GRAND CONCOURSE/E 174 ST,GRAND CONCOURSE/E 179 ST,GRAND CONCOURSE/E 172 ST,GRAND CONCOURSE/E 198 ST,SEDGWICK AV/DICKINSON AV,SEDGWICK AV/STEVENSON PL,HEATH AV/SUMMIT PL,GRAND CONCOURSE/E KINGSBRIDGE RD,SEDGWICK AV/GILES PL,GRAND CONCOURSE/VAN CORTLANDT AV E,GRAND CONCOURSE/E FORDHAM RD,GRAND CONCOURSE/E 204 ST,GRAND CONCOURSE/E 158 ST,GRAND CONCOURSE/E MT EDEN AV,GRAND CONCOURSE/E 163 ST,GRAND CONCOURSE/E CLARKE PL,GRAND CONCOURSE/E 144 ST,GRAND CONCOURSE/CROSS BX EXP OVERPASS,SEDGWICK AV/STEVENSON PL 1,SEDGWICK AV/FT INDEPENDENCE ST,W MOSHOLU PY S/JEROME AV,GRAND CONCOURSE/E 177 ST,GRAND CONCOURSE/E 161 ST,W 231 ST/CORLEAR AV,GRAND CONCOURSE/MC CLELLAN ST,GRAND CONCOURSE/E MOSHOLU PY S,SEDGWICK AV/STEVENSON PL 2,GRAND CONCOURSE/E 181 ST,GRAND CONCOURSE/E 138 ST,W 231 ST/BAILEY AV,GRAND CONCOURSE/E 192 ST,GRAND CONCOURSE/E 153 ST,W 231 ST/BROADWAY,GRAND CONCOURSE/E 170 ST,GRAND CONCOURSE/E 156 ST,GRAND CONCOURSE/E 182 ST,GRAND CONCOURSE/E 167 ST,RIVERDALE AV/W 231 ST,GRAND CONCOURSE/E 187 ST,GRAND CONCOURSE/FIELD PL,GRAND CONCOURSE/MORRIS AV,GRAND CONCOURSE/E 165 ST,GRAND CONCOURSE/E TREMONT AV,GRAND CONCOURSE/E 203 ST,E MOSHOLU PY S/JEROME AV,W 231 ST/KINGSBRIDGE AV,W MOSHOLU PY S/PAUL AV,GRAND CONCOURSE/E 149 ST,GRAND CONCOURSE/E 206 ST,LINCOLN AV/E 137 ST,W 231 ST/TIBBETT AV,HEATH AV/ALBANY CRES,E 136 ST/LINCOLN AV,GRAND CONCOURSE/MT EDEN AV,3 AV/E 138 ST,GRAND CONCOURSE/E 175 ST,GRAND CONCOURSE/MINERVA PL,GRAND CONCOURSE/E BURNSIDE AV,GRAND CONCOURSE/E 196 ST,GRAND CONCOURSE/E 180 ST,GRAND CONCOURSE/BEDFORD PK BL,SEDGWICK AV/VAN CORTLANDT AV W,GRAND CONCOURSE/E 169 ST,ALBANY CR/BAILEY AV,SEDGWICK AV/HILLMAN AV,West Farms Depot (WF)
GRAND CONCOURSE/E 149 ST,,,,,,,,,,,,,,,,,0.445 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,0.307 RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 206 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.622 RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINCOLN AV/E 137 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.524 RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 231 ST/TIBBETT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.175 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEATH AV/ALBANY CRES,,,,,,,0.173 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 136 ST/LINCOLN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,
GRAND CONCOURSE/MT EDEN AV,,,,,,,,,,,,,,,,,,0.75 RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 138 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,
GRAND CONCOURSE/E 175 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.374 RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/MINERVA PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,
GRAND CONCOURSE/E BURNSIDE AV,,0.752 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.968 RIVERDALE 231 ST via CONCOURSE,,,,,,
GRAND CONCOURSE/E 196 ST,,,,0.321 RIVERDALE 231 ST via CONCOURSE,,,,0.863 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 180 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.697 RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/BEDFORD PK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.321 RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,0.269 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,
SEDGWICK AV/VAN CORTLANDT AV W,,,,,,0.196 RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 169 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.543 RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBANY CR/BAILEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDGWICK AV/HILLMAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098 RIVERDALE 231 ST via CONCOURSE,,,,
West Farms Depot (WF),,,,,,,,,,,,,,,,,,,,,,,,,,,,3.638 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
