,ANNADALE RD/NORTH PINE TER,ARTHUR KILL RD/ANNADALE RD,LUTEN AV/HYLAN BL,ELTINGVILLE/TRANSIT CENTER,LUTEN AV/DEISIUS ST,SEGUINE AV/JOHANNA LA,ANNADALE RD/HILLIS ST,MARSH AV/WINDHAM LOOP,ANNADALE RD/SOUTH RAILROAD ST,ANNADALE RD/GRANTWOOD AV,BLOOMINGDALE RD/SHARROTTS RD,LUTEN AV/EYLANDT ST,AMBOY RD/HUGUENOT AV,ANNADALE RD/DORVAL PL,BLOOMINGDALE RD/CLAY PIT RD,RICHMOND AV/YUKON AV,PLATINUM AV/TOYS R US,MARSH AV/ELMWOOD PK DR,RICHMOND AV/FOREST HILL RD,HYLAN BL/SEGUINE AV,AMBOY RD/RUGGLES ST,ARTHUR KILL RD/CROSSFIELD AV,ANNADALE RD/DRUMGOOLE RD E,ANNADALE RD/RYE AV,ANNADALE RD/TOKEN ST,SEGUINE AV/DIRENZO CT,ANNADALE RD/DRUMGOOLE RD W,BLOOMINGDALE RD/OPP KRAMER AV,AMBOY RD/KINGDOM AV,AMBOY RD/PERTERSONS LN,AMBOY RD/BAYVIEW AV,ANNADALE RD/NOTUS AV,BLOOMINGDALE RD/VETERANS RD E,BLOOMINGDALE RD/ALYSIA CT,SEGUINE AV/KNOX ST,ANNADALE RD/ARDEN AV,AMBOY RD/BLOOMINGDALE RD,BLOOMINGDALE RD/ENGLEWOOD AV,BLOOMINGDALE RD/CORRELL AV,HYLAN BL/LUTEN AV,BLOOMINGDALE RD/SOUTH SERVICE RD,PLATINUM AV/SEARS,ANNADLE RD/TYNAN ST,BLOOMINGDALE RD/OPP SHIEL AV,BLOOMINGDALE RD/PEMBROOK LOOP,ANNADALE RD/AMBOY RD,HYLAN BL/CORNELIA AV,BLOOMINGDALE RD/MARVIN RD,RICHMOND AV/PLATINUM AV,BLOOMINGDALE RD/AMBOY RD,AMBOY RD/ALVINE AV,AMBOY RD/PETERSONS LN,AMBOY RD/ARBUTUS AV,MARSH AV/RING RD,SEGUINE AV/WATERBURY AV,ANNADALE RD/CROSSFIELD AV,BLOOMINGDALE RD/KRAMER AV,ANNADALE RD/GENESEE AV,Yukon Depot (YU)
ANNADALE RD/ARDEN AV,,,,,,,,,0.524 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,0.274 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBOY RD/BLOOMINGDALE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.361 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/ENGLEWOOD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.858 S I MALL,,,,,,,,,,,0.454 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,
BLOOMINGDALE RD/CORRELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.853 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,
BLOOMINGDALE RD/SOUTH SERVICE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.382 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,
PLATINUM AV/SEARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,
ANNADLE RD/TYNAN ST,,,,,,,,,,,,,,0.389 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/OPP SHIEL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/PEMBROOK LOOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.435 S I MALL,,,,,,,,,,,,,,,,,,,,,
ANNADALE RD/AMBOY RD,,,,,,,0.39 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,
HYLAN BL/CORNELIA AV,,,2.739 S I MALL,,,,,,,,,,,,,,,,,0.715 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/MARVIN RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/PLATINUM AV,,,,,,,,,,,,,,,,0.229 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.476 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,
AMBOY RD/ALVINE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,
AMBOY RD/PETERSONS LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.361 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,
AMBOY RD/ARBUTUS AV,,,,,,,,,,,,,,,,,,,,,0.211 S I MALL,,,,,,,,0.367 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARSH AV/RING RD,,,,,,,,,,,,,,,,,,0.981 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEGUINE AV/WATERBURY AV,,,,,,0.019 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.996 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,
ANNADALE RD/CROSSFIELD AV,,,,,,,,,,,,,,,,,,,,,,,,,0.502 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/KRAMER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.344 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,
ANNADALE RD/GENESEE AV,,,,,,,,,,,,,,,,,,,,,,,0.278 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yukon Depot (YU),,,,,,,,,,,,,,,,0.796 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
